sno,latitude,longitude,day_of_year,seconds_of_day
500103037,25.04925,121.51468,130,19442
500103038,25.06594,121.51078,130,17402
500103039,25.05205,121.50818,129,83403
500103040,25.06011,121.51729,130,18302
500103041,25.07491,121.5115,130,13982
500103042,25.06496,121.51608,130,18542
500103043,25.05918,121.51373,130,662
500103044,25.05662,121.50783,130,12122
500103045,25.05805,121.51353,130,13202
500103046,25.06322,121.5144,130,10804
500103047,25.06247,121.51839,130,19203
500103048,25.05366,121.51638,130,19561
500103049,25.05756,121.51828,130,19442
500103050,25.05646,121.51698,130,18004
500103051,25.04937,121.51914,130,19742
500103052,25.06129,121.52021,130,13682
500103053,25.05296,121.51938,130,19322
500103054,25.0515,121.51398,130,19083
500103055,25.06587,121.51847,130,19561
500103056,25.05658,121.50826,129,86117
500103057,25.07182,121.51929,48,30017
500103058,25.06669,121.51615,130,19322
500103059,25.04879,121.51626,130,19742
500103060,25.06036,121.51996,130,18362
500103061,25.06157,121.51683,130,3003
500103062,25.06095,121.51428,130,4203
500103063,25.06092,121.51126,130,18242
500103064,25.06603,121.51481,130,16742
500103065,25.07473,121.51451,130,19442
500103066,25.05348,121.50855,129,76695
500103068,25.07563,121.51815,130,18302
500103069,25.06289,121.51544,130,13622
500103070,25.06997,121.51388,130,19742
500103071,25.05621,121.51847,130,18421
500103072,25.07194,121.51626,129,85203
500103073,25.06864,121.51559,130,18781
500103074,25.07477,121.51977,130,19203
500103075,25.05044,121.50766,128,49804
500103076,25.04888,121.50745,130,11642
500103078,25.07576,121.52011,130,3782
500104001,25.08128,121.51784,129,73755
500104002,25.08914,121.51542,130,603
500104003,25.08695,121.51901,130,17881
500104004,25.08521,121.51918,130,18362
500104005,25.10277,121.53357,130,4982
500104006,25.12011,121.53357,130,13262
500104007,25.11856,121.52964,130,9363
500104008,25.11633,121.53414,130,603
500104009,25.11356,121.53718,130,19825
500104010,25.11127,121.53244,130,18601
500104012,25.11341,121.53195,130,12004
500104013,25.12011,121.52652,129,80475
500104014,25.11184,121.52589,130,19561
500104015,25.08009,121.51895,130,13382
500104016,25.07994,121.52426,129,85996
500104018,25.10813,121.5304,130,13803
500104019,25.1054,121.5295,130,5161
500104020,25.10399,121.52593,130,662
500104021,25.10155,121.52832,130,541
500104022,25.10186,121.53083,129,86354
500104023,25.08302,121.52069,130,16321
500104024,25.08671,121.52096,130,16923
500104025,25.08828,121.51985,130,12435
500104026,25.0848,121.52125,130,13622
500104027,25.08736,121.52272,130,8342
500104028,25.10364,121.52219,130,3617
