sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus,total_bikes,rent_bikes,return_bikes,is_high_error,relative_error
500107023,25.05606,121.54175,130,18781,5,5,0.4516129032258064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500107028,25.05246,121.5332,130,16923,4,5,0.36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500107028,25.05246,121.5332,130,16923,4,5,0.36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500108044,25.05827,121.58707,129,70803,19,4,0.0410958904109589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500108044,25.05827,121.58707,129,70803,19,4,0.0410958904109589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500109011,25.12397,121.46712,130,18842,5,5,0.101010101010101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500109011,25.12397,121.46712,130,18842,5,5,0.101010101010101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500109011,25.12397,121.46712,130,18842,5,5,0.101010101010101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500109011,25.12397,121.46712,130,18842,5,5,0.101010101010101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500109032,25.11666,121.50962,130,17463,4,5,0.9714285714285714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500109032,25.11666,121.50962,130,17463,4,5,0.9714285714285714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500110014,25.05804,121.54897,130,18542,5,5,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500111003,25.05014,121.59238,130,9302,2,5,0.2153846153846154,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
