sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus,total_bikes,rent_bikes,return_bikes,is_high_error,relative_error
500101127,25.04177,121.53833,130,19561,5,5,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101127,25.04177,121.53833,130,19561,5,5,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101127,25.04177,121.53833,130,19561,5,5,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101131,25.03701,121.54348,130,21494,5,5,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101131,25.03701,121.54348,130,21494,5,5,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101144,25.03332,121.53435,130,17161,4,5,0.2608695652173913,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,0,1,0,90,45,45,1,175.9563636363636
500101144,25.03332,121.53435,130,17161,4,5,0.2608695652173913,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500101148,25.03635,121.53833,130,19083,5,5,0.4375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101156,25.0328,121.53746,130,8883,2,5,0.3653846153846153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101166,25.02472,121.54417,130,662,0,5,0.4814814814814814,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101168,25.03756,121.54587,130,7095,1,5,0.0555555555555555,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.2588190451025207,0.9659258262890684,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101169,25.03305,121.55378,130,19442,5,5,0.8367346938775511,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101169,25.03305,121.55378,130,19442,5,5,0.8367346938775511,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101170,25.02681,121.54668,130,15181,4,5,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101174,25.02861,121.54336,130,19742,5,5,0.4878048780487805,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101174,25.02861,121.54336,130,19742,5,5,0.4878048780487805,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101181,25.01551,121.53374,130,15616,4,5,0.6161616161616161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,0,1,0,1,0,90,90,45,1,451.9127272727272
500101181,25.01551,121.53374,130,15616,4,5,0.6161616161616161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,0,0,1,90,45,90,1,175.9563636363636
500101191,25.02054,121.54561,129,85803,23,4,0.1212121212121212,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.2588190451025215,0.965925826289068,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101193,25.01705,121.54435,130,15181,4,5,0.9803921568627452,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101193,25.01705,121.54435,130,15181,4,5,0.9803921568627452,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101203,25.02709,121.54902,130,18781,5,5,0.1212121212121212,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101206,25.03328,121.5425,130,15002,4,5,0.9130434782608696,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500101210,25.03002,121.54893,130,10743,2,5,0.15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103002,25.0741,121.51349,130,18781,5,5,0.875,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103002,25.0741,121.51349,130,18781,5,5,0.875,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103008,25.07378,121.51583,130,16804,4,5,0.8648648648648649,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103009,25.07133,121.52024,130,18601,5,5,0.3950617283950617,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,0,1,0,90,45,45,1,175.9563636363636
500103009,25.07133,121.52024,130,18601,5,5,0.3950617283950617,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500103009,25.07133,121.52024,130,18601,5,5,0.3950617283950617,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,0,1,0,90,45,45,1,175.9563636363636
