sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos
500101109,25.0266,121.52973,130,18063,5,5,0.15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101110,25.0276,121.52217,130,19203,5,5,0.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101111,25.02715,121.52293,43,45556,12,2,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
500101113,25.02895,121.5379,130,9063,2,5,0.9019607843137256,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101114,25.02657,121.53515,130,9004,2,5,0.1176470588235294,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101115,25.02606,121.53738,130,18421,5,5,0.28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101116,25.02984,121.53107,130,19322,5,5,0.7727272727272727,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101117,25.03383,121.52815,58,3915,1,3,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.43388373911755823,-0.900968867902419,0.25881904510252074,0.9659258262890683
500101118,25.03519,121.5245,130,11404,3,5,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101119,25.03325,121.52436,130,17881,4,5,0.15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101120,25.03164,121.52661,130,18902,5,5,0.2093023255813953,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101122,25.0237,121.54899,129,79396,22,4,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
500101123,25.02215,121.54839,130,17463,4,5,0.3947368421052631,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101124,25.02721,121.54988,130,15841,4,5,0.2068965517241379,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101125,25.02952,121.55406,130,19561,5,5,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101126,25.02931,121.55721,130,17881,4,5,0.8620689655172413,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101127,25.04177,121.53833,130,19561,5,5,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101128,25.04003,121.53299,130,18902,5,5,0.4545454545454545,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101129,25.03753,121.53523,130,13622,3,5,0.9285714285714286,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101130,25.03534,121.5354,130,21074,5,5,0.9333333333333332,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101131,25.03701,121.54348,130,21494,5,5,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101132,25.03935,121.53828,129,82804,23,4,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681
500101133,25.04035,121.5436,130,15002,4,5,0.6744186046511628,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101134,25.0332,121.5439,130,18421,5,5,0.2307692307692307,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101135,25.03358,121.54141,130,16262,4,5,0.0769230769230769,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101136,25.03317,121.54639,130,9302,2,5,0.1666666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101137,25.04092,121.54825,130,18004,5,5,0.3571428571428571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101138,25.03754,121.55285,130,18421,5,5,0.1515151515151515,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101139,25.03333,121.54977,130,18842,5,5,0.4615384615384615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101140,25.03706,121.55166,130,15554,4,5,0.08,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101141,25.03304,121.55171,130,14582,4,5,0.7083333333333334,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101142,25.04463,121.53665,130,17881,4,5,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101143,25.04448,121.53946,130,11522,3,5,0.625,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101144,25.03332,121.53435,130,17161,4,5,0.2608695652173913,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
